Row,sepal_length,sepal_width,petal_length,petal_width,class
60,5.0,2.0,3.5,1.0,Iris-versicolor
147,6.5,3.0,5.2,2.0,Iris-virginica
104,6.5,3.0,5.8,2.2,Iris-virginica
52,6.9,3.1,4.9,1.5,Iris-versicolor
22,4.6,3.6,1.0,0.2,Iris-setosa
75,6.6,3.0,4.4,1.4,Iris-versicolor
37,4.9,3.1,1.5,0.1,Iris-setosa
77,6.7,3.0,5.0,1.7,Iris-versicolor
145,5.836486486486487,3.0,5.2,2.3,Iris-virginica
64,5.6,2.9,3.6,1.2054054054054062,Iris-versicolor
136,6.3,3.4,5.6,2.4,Iris-virginica
94,5.6,2.7,4.2,1.3,Iris-versicolor
127,6.1,3.056462585034015,4.9,1.8,Iris-virginica
87,6.3,2.3,4.4,1.3,Iris-versicolor
92,5.8,2.6,4.0,1.2,Iris-versicolor
95,5.7,3.0,4.2,1.2,Iris-versicolor
139,6.9,3.1,5.4,2.1,Iris-virginica
76,6.8,2.8,4.8,1.4,Iris-versicolor
32,5.2,4.1,1.5,0.1,Iris-setosa
101,5.8,2.7,5.1,1.9,Iris-virginica
13,4.3,3.0,1.1,0.1,Iris-setosa
24,4.8,3.4,1.9,0.2,Iris-setosa
59,5.2,2.7,3.9,1.4,Iris-versicolor
45,4.8,3.0,1.4,0.3,Iris-setosa
34,4.9,3.1,1.5,0.1,Iris-setosa
131,7.9,3.8,6.4,2.0,Iris-virginica
93,5.0,2.3,3.3,1.0,Iris-versicolor
47,4.6,3.2,1.4,0.2,Iris-setosa
116,6.5,3.0,5.5,1.8,Iris-virginica
9,4.9,3.1,1.5,0.1,Iris-setosa
119,6.0,2.2,5.0,1.5,Iris-virginica
90,5.5,2.6,4.4,1.2,Iris-versicolor
14,5.8,4.0,1.2,0.2,Iris-setosa
16,5.4,3.9,1.3,0.4,Iris-setosa
111,6.4,2.7,5.3,1.9,Iris-virginica
85,6.0,3.4,4.5,1.6,Iris-versicolor
89,5.5,2.5,4.0,1.3,Iris-versicolor
33,5.5,4.2,1.4,0.2,Iris-setosa
29,4.7,3.2,1.6,0.2,Iris-setosa
120,6.9,3.2,5.7,2.3,Iris-virginica
78,6.0,2.9,4.5,1.5,Iris-versicolor
91,6.1,3.0,4.6,1.4,Iris-versicolor
3,4.6,3.1,1.5,0.2,Iris-setosa
55,5.7,2.8,4.5,1.3,Iris-versicolor
138,6.0,3.0,4.8,1.8,Iris-virginica
